programYear,programType,serviceType,maxHours,annualOffset
2026,THREE_YEAR_OLD_KINDER,SESSIONAL_STANDALONE,15,2627.00
2026,THREE_YEAR_OLD_KINDER,LONG_DAY_CARE_INTEGRATED,15,2101.00
2026,PRE_PREP,SESSIONAL_STANDALONE,15,2627.00
2026,PRE_PREP,LONG_DAY_CARE_INTEGRATED,15,2101.00
2026,PRE_PREP,SESSIONAL_STANDALONE,16,2802.13
2026,PRE_PREP,LONG_DAY_CARE_INTEGRATED,16,2241.07
2026,PRE_PREP,SESSIONAL_STANDALONE,20,3502.67
2026,PRE_PREP,LONG_DAY_CARE_INTEGRATED,20,2801.33
2026,PRE_PREP,SESSIONAL_STANDALONE,25,4378.33
2026,PRE_PREP,LONG_DAY_CARE_INTEGRATED,25,3501.67
2026,PRE_PREP,SESSIONAL_STANDALONE,30,5254.00
2026,PRE_PREP,LONG_DAY_CARE_INTEGRATED,30,4202.00
