fundingYear,lgaCode,cohortKey,rolloutYear,rolloutPhase,minHours,maxHours
2026,LGA_301,ABORIGINAL_TSI,2026,PRIORITY_2026,16,25
2026,LGA_301,TORRES_STRAIT,2026,PRIORITY_2026,16,25
2026,LGA_301,REFUGEE_ASYLUM,2026,PRIORITY_2026,16,25
2026,LGA_301,CHILD_PROTECTION,2026,PRIORITY_2026,16,25
2026,LGA_301,ESK_AEL,2026,PRIORITY_2026,16,25
2026,LGA_301,UNIVERSAL,2026,INITIAL,16,20
2026,LGA_301,UNIVERSAL,2029,MIDDLE,16,25
2026,LGA_301,UNIVERSAL,2031,FINAL,16,30
2026,LGA_301,CONCESSION_CARD,2028,PRIORITY_2028,16,25
2026,LGA_301,CONCESSION_CARD,2030,FINAL_PRIORITY,16,30
2026,LGA_301,MULTIPLE_BIRTH,2028,PRIORITY_2028,16,25
2026,LGA_301,MULTIPLE_BIRTH,2030,FINAL_PRIORITY,16,30
